,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,인테리어,재질,사이즈,설치,색상,매트리스포함,침대 프레임
233,277,184562,"끌라로 슬라이딩 베이직 침대 안전가드 120cm, 별 그레이",30410,4699265922,True,12,5.0,1.0,False,끌라로,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,278,184562,"퍼니코 벨로나 벨벳or가죽 소파베드 3인용 5컬러, 벨벳블루",159000,310249205,False,33,4.5,21.0,False,퍼니코,0,20.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,279,184562,"[삼익가구]해리 철제 벙커 책상 침대(애니폼 CL라텍폼스 매트리스-유로싱글), 블랙",299000,288637511,False,37,4.5,24.0,False,삼익가구,착불배송,17.0,NULL,철재,NULL,NULL,NULL,NULL,NULL
236,280,184562,"마스터 수납 슈퍼싱글 침대, 2_1.마스터 3서랍 슈퍼싱글침대(헤드형)_화이트",184000,54912201,False,0,4.0,199.0,False,엘레아,착불배송,82.0,NULL,합성목재,가로(W)1125x세로(D)2030x높이(H)800(mm),NULL,화이트,NULL,NULL
237,281,184562,라꾸라꾸침대본사 라꾸라꾸 웰빙 온열침대 2인용 침대 CBK-006SD } 사은품(세탁+보관커버) 접이식침대,237900,5125849391,False,0,4.0,5.0,False,라꾸라꾸,0,5.0,NULL,철제+매트리스,NULL,NULL,블루&그레이&화이트/스트라이프,NULL,NULL
238,283,184562,"라꾸라꾸 라꾸라꾸침대 전동라꾸라꾸8 전동식(리모콘각도조절) CBK008 1인용 슈퍼싱글 등받이각도조절 인조가죽 접이식침대, 베이지(갈색 인조가죽), 전동라꾸라꾸8 전동식(리모콘) CBK008",296600,5410866415,False,0,,,False,라꾸라꾸,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,284,184562,"무소음 박스 I자형수납 고급커버 단면매트 / 1인 원룸가구 인테리어가구 침대프레임 매트리스 수납가능, 플레어 네이비",84900,5163831345,False,0,4.5,2.0,False,침대생각,착불배송,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,285,184562,"레이디가구 글린 LED 3단서랍 수납 침대 슈퍼싱글 퀸, 01. SS_매트제외_오크",174000,2040618269,False,52,4.0,6.0,False,레이디가구,착불배송,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,286,184562,"크렌시아 젠느 LED 리노 서랍형 퀸 침대프레임 Q (매트별도), 그레이",219000,182030141,False,31,4.5,8.0,False,크렌시아,착불배송,4.0,NULL,"MDF,데코시트",퀸,NULL,NULL,별도구매,NULL
242,287,184562,"크렌시아 베이직 슈퍼싱글 퀸 침대프레임 (매트제외), 아카시아",69000,50613189,False,0,4.0,131.0,False,크렌시아,착불배송,22.0,NULL,NULL,슈퍼싱글,NULL,브라운,별도구매,NULL
243,288,184562,"[수도권무배] 레이디가구 론 매트리스 일체형 침대 S SS 싱글 슈퍼싱글, 그레이",155000,4533467395,False,51,4.0,17.0,False,레이디가구,0,7.0,NULL,NULL,NULL,방문설치,NULL,매트리스포함,NULL
244,290,184562,"젠티스 인쏘노 침대안전가드 일반형, 화이트",28900,1861953245,False,27,4.5,186.0,False,인쏘노,0,64.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,291,184562,"가이온 스너그 단면매트리스 침대 다리포함, 화이트",54800,231606029,False,42,4.0,351.0,False,가이온,착불배송,187.0,NULL,NULL,970X2000X200,NULL,화이트,매트리스포함,NULL
246,292,184562,"캠벨침대 침대 매트리스 다리, 화이트 195mm 10개",15900,161760378,False,0,4.5,35.0,False,,0,16.0,NULL,플라스틱,195mm,NULL,화이트,NULL,NULL
247,293,184562,"마티노가구 스텝스 평상형 수납 계단 침대, 프레임(책상&추가수납 포함)",499000,313689156,False,42,4.5,54.0,False,마티노가구,착불배송,43.0,모던/심플,합성목재,NULL,NULL,화이트,NULL,NULL
248,294,184562,"블루밍홈 패브릭 윈디 쇼파베드3, 그레이",88900,167023699,True,1,4.0,146.0,False,블루밍홈,0,18.0,NULL,패브릭,NULL,NULL,그레이,NULL,NULL
249,296,184562,"퍼니코 레브 샤무벨벳 카우치 소파베드 3colors, 그레이",189000,174676141,False,42,4.0,51.0,False,퍼니코,착불배송,30.0,모던/심플,NULL,1850,NULL,NULL,NULL,NULL
250,297,184562,"블루밍홈 뉴보노 쇼파베드 S, 아이보리",93500,1692650335,True,0,4.5,34.0,False,블루밍홈,0,34.0,모던/심플,NULL,NULL,NULL,NULL,NULL,NULL
251,300,184562,"도노코코 도로시 슈퍼싱글 LED 침대 헤드보드 프레임, 침대 헤드만(화이트)",99000,47014655,False,16,4.5,56.0,False,도노코코,0,15.0,NULL,LPM,슈퍼싱글,NULL,화이트,NULL,NULL
252,301,184562,"에몬스 클레어 에디션 침대 퀸(Q), 메이플",556070,1395446905,False,7,5.0,7.0,False,,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,303,184562,포메리트 로트 저상형 원목 매트리스 프레임 퀸,113570,1518441205,True,0,3.5,14.0,False,포메리트,0,14.0,NULL,NULL,퀸,NULL,NULL,NULL,NULL
254,305,184562,"블루밍홈 싱글 윈디 소파베드, 그린(FABRIC)",68900,15553708,True,11,4.0,182.0,False,블루밍홈,0,28.0,NULL,NULL,one size,NULL,그린,NULL,NULL
255,306,184562,"삼익가구 원룸 싱글/슈퍼싱글 일체형 침대 매트리스, 그레이",81900,1142371126,False,36,4.0,24.0,False,삼익가구,착불배송,21.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,307,184562,"퍼니코 오로라 앤틱 매립형 벨벳 침대 슈퍼싱글/퀸/킹, 01. 프레임만, 로얄 그린",289000,4361438684,False,44,4.5,23.0,False,퍼니코,착불배송,23.0,클래식/엔틱,벨벳,NULL,방문설치,NULL,NULL,NULL
257,308,184562,"마리나홈 [마리나홈/아이와비] 좌식(소) 소파베드 소파, 화이트",99000,34886289,False,9,4.5,513.0,False,아이와비,"27,000",46.0,모던/심플,인조가죽,NULL,NULL,화이트,NULL,NULL
258,309,184562,글로리아 침대 안전 손잡이 낙상예방 안전바 베드 가드 지지대,69000,280151833,False,0,5.0,15.0,False,글로리아,0,11.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,311,184562,"젠티스 저상형 스퀘어 헤드업 침대 패밀리 + 매트리스 S3 방문설치, 그레이",387000,4711733658,True,10,5.0,4.0,False,젠티스,0,4.0,NULL,NULL,NULL,방문설치,NULL,매트리스포함,저상형
