,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,바퀴,단
287,345,184614,"이케아 VOXNAN 휴지걸이/욕실용품, 크롬효과_203.285.96",11360,22737592,False,0,5.0,3.0,False,이케아,0,2.0,색상:크롬효과_203.285.96,롬효과_203.285.96,NULL,NULL,NULL,NULL
288,346,184614,"심플 철제 서랍장 화이트 책상 틈새 수납장 소품 정리, 화이트 8단",112700,5025680270,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
289,347,184614,"미용실 협탁 수납장 나무이발소 이동가능 공구함 경대 캐비닛, 3단금틀 난백 + 1x1x1cm",89500,4658273059,False,14,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
290,348,184614,"하원가구 라울 600 양문 수납장, 다크엘다",69900,298210941,False,0,5.0,3.0,False,,착불배송,2.0,NULL,NULL,NULL,NULL,NULL,NULL
291,349,184614,"스토리지햅 그리드 4단 드레스룸 아일랜드 800서랍장 수납장, 에쉬",145000,1805939942,False,23,4.0,1.0,False,,착불배송,1.0,750X420X810,NULL,18T LPM / 유리 /볼레일,내추럴,바퀴없음,4단
292,350,184614,"슬림형 화이트톤 식기 주방용품 수납장 깔끔한수납장 (3일이내 배송일정 전화안내), 아카시아",143300,5465361931,False,0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
293,351,184614,"목성가구 착한가격 실용적인 고급오동나무 다용도수납 양문여닫이함 수납장, 고급오동나무수납장",129900,228628522,False,0,4.5,5.0,False,,0,2.0,590*395*480,엔틱,오동나무/뒤판 합성목,NULL,NULL,NULL
294,352,184614,"다용도 책장 조립식 수납장 패브릭 5단 보관함 좁은집 가구 패브릭수납함 좁은집수납 틈새수납장 가방정리대 수납선반 조립식수납장 조립식책꽂이, 10칸 책장 그레이",30670,5477921467,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
295,353,184614,일상공감 차곡차곡 옷장트레이 (20P) + 초간편폴더,41800,5492394763,False,0,,,False,일상공감,0,,NULL,NULL,NULL,NULL,NULL,NULL
296,354,184614,"헌금함(봉헌함 조각뚜껑 향나무), 향나무, 향나무",120000,2183474996,False,14,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
