,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,형태,인테리어,재질,접이 가능여부
97,128,503219,"프리미엄 최상급 원목 접이식 각도 조절 침대 쇼파 노트북 태블릿 테이블 책상 베드 트레이 거치대, 우드 블랙(우드 블랙)",114900,5004180298,False,50,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
98,129,503219,"투명유리볼 시리얼볼 SALADBOWL 스파게티볼 폴딩 간이 씨리얼볼 침대 책상 트레이 W6F1C61 접이식 탁자 도자기볼 테이블 스프볼 디자 SALADBOWLS 혁신적 원형볼 볼그릇 그라탕기 안정적 미니멀한디자 요거트그릇 디자이이쁜 손잡이볼 베드 교자상 다용도상, 스마트팜 블랙",24180,4897065679,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
99,130,503219,"톡톡모두팜 미니테이블 혼밥용상 다과상 밥상 공부상 다용도테이블, 아이보리",19800,1351935725,False,0,5.0,1.0,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
100,131,503219,"접이식 베드 테이블트레이좌식컵홀더침대책상, 베이지",8080,2149933789,False,31,5.0,1.0,False,,"2,500",1.0,NULL,NULL,NULL,NULL,NULL,NULL
101,132,503219,"리틀 티 테이블 책상 심플 간이 침대용 책상, 조립 + O.120길이*60폭*40높이슈퍼두꺼움",108900,5429398723,False,54,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
102,133,503219,"[스페인직송] 메라키 실버 피니시 트레이 20 x 30 x 2.5 cm 알루미늄, 단일옵션",49500,5201044827,False,0,,,False,,"13,900",,NULL,NULL,NULL,NULL,NULL,NULL
103,134,503219,"심플 미니 접이식 트레이 테이블 배드 침대용 침대위 책상 만능폴딩 이케아, 미니접이식-우드",11670,5503850122,False,0,,,False,,"5,000",,NULL,NULL,NULL,NULL,NULL,NULL
104,135,503219,"[DS] 북유럽풍 테이블 플레이팅 데코 매트_플라워, 골드",1800,1523563718,False,5,3.0,1.0,False,,"2,500",1.0,NULL,NULL,NULL,NULL,NULL,NULL
105,136,503219,"아이예스 접이식 원목 노트북 테이블 IY-P9, 블랙",25950,5237935695,True,3,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
106,137,503219,노트북 사용 브런치 독서대 베드 트레이 침대책상 테플릿테이블,69400,5514061772,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
107,138,503219,"대나무시트 대나무라탄 온돌방석 대죽 농가악 천장선반 스티커 벽장식 엔틱 전 핸드메이드, 육각안 1. 22메터 와이드 * 2.",71800,5553111427,False,44,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
108,139,503219,"탈부착 바퀴형 높이조절 베드트레이 노트북테이블 베드테이블 미니테이블 태블릿PC거치 브런치테이블 공부테이블 독서테이블 가정용 학생 개인용, 브라운",46500,2286332774,False,13,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
109,140,503219,"엔틱 대나무라탄 제품 가정용 다과자 수납 있음 뚜껑 직사각형 레트로 핸드메이드 카본 향, 엔틱 대나무 바구니 엔틱 대나무 바구",279100,5544819221,False,27,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
110,141,503219,과외 침대용 노트북 접이식간이 배드 베드 자취방 폴딩 컵홀더 책상 테이블 식탁 탁자,9450,5341532509,False,0,,,False,,"2,500",,NULL,NULL,NULL,NULL,NULL,NULL
111,142,503219,"그뤠잇라이프 다용도 접이식 컵홀더 테이블 베드트레이 60 x 40 cm, 핑크",6900,5456308041,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
112,143,503219,"바네스데코 대나무 접이식 랩탑 테이블 S, natural",16900,5278722459,True,0,,,False,바네스데코,0,,50 x 30 x 26 cm,NULL,NULL,NULL,NULL,접이식가능
113,144,503219,"눕서대 누워서노트북 공부대 맥북발열 거북목증후군 노트북발열, 4 단계 리프팅 + 컵 홀더 (하늘색)",35600,1817684626,False,66,,,False,,"10,000",,NULL,NULL,NULL,NULL,NULL,NULL
114,146,503219,"이마켓 노트북 테이블 CareFree NT-4000, 베이지",16800,170789739,False,0,4.0,47.0,False,,0,6.0,NULL,NULL,NULL,NULL,NULL,NULL
115,147,503219,"우딘 접이식 베드 소반트레이, 월넛S",39300,4717941061,False,16,,,False,,"2,500",,NULL,NULL,NULL,NULL,NULL,NULL
116,150,503219,"그뤠잇라이프 대나무 베드 트레이 좌식책상형, 대나무 우드",14880,1279583049,True,3,4.5,11.0,False,,0,11.0,NULL,NULL,NULL,NULL,NULL,NULL
117,153,503219,"리빙노크 접이식 다용도 배드트레이, 그레이",19900,1414440250,False,0,4.5,19.0,False,,0,11.0,NULL,멀티(혼합)컬러,직사각형,내추럴,NULL,접이식가능
118,154,503219,로벨 원목 접이식 피크닉 테이블 베드트레이 휴대용 다용도 차박 캠핑 미니테이블,14900,5388943480,False,40,,,False,,0,,NULL,원목,직사각형,북유럽,NULL,접이식가능
119,155,503219,"퍼니리빙 접이식 거실 침대 좌식 보조 다용도 미니 캠핑 테이블 책상, NEW접이식60-오크색",11900,85886731,False,0,4.0,59.0,False,,0,8.0,60 * 40 * 25Cm,오크색 ,NULL,NULL,"MDF, STEEL",NULL
120,156,503219,아이코닉하우스 하버 원목 베드트레이,17440,182037178,True,2,3.5,11.0,False,,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL
121,157,503219,"예원 베드트레이, 내츄럴",31850,2585414,True,13,4.0,5.0,False,예원,0,1.0,NULL,브라운,직사각형,NULL,NULL,접이식가능
122,158,503219,"따니네 접이식 미니 테이블 ZZ008 60 x 40 x 28 cm, 그린",17800,1552973920,True,0,3.5,9.0,False,,0,9.0,NULL,NULL,NULL,NULL,NULL,NULL
123,159,503219,"OnlyOne 수납 서랍 노트북 테이블 T-1000, 베이지",16900,1985196485,True,0,3.5,28.0,False,,0,28.0,NULL,NULL,NULL,NULL,NULL,NULL
124,160,503219,"데이빌트레이 접이식 베드 트레이 노트북 각도조절 테이블 좌식 좌탁 탁자, CNT001(10인치)",16800,343218440,False,0,4.5,25.0,False,,"3,000",22.0,NULL,NULL,NULL,NULL,NULL,NULL
125,161,503219,"바네스데코 대나무 접이식 랩탑 테이블 M, natural",18900,5278722515,True,0,5.0,1.0,False,바네스데코,0,1.0,54 x 34 x 28 cm,NULL,NULL,NULL,NULL,접이식가능
126,167,503219,"그뤠잇라이프 높이조절 접이식 노트북 베드트레이, 블랙",13500,5335472642,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
127,169,503219,"CH1420206 북유럽 감성 베드트래이 침대 좌식 책상 노트북 조식 테이블 앉은뱅이, 화이트",28980,167225298,False,0,4.5,6.0,False,,0,4.0,NULL,화이트,NULL,모던/심플,합성목재,NULL
128,171,503219,"미토 데일리 라이프 대나무 쿠션트레이 소 380 x 280 mm, 혼합 색상",25520,276948537,True,3,4.0,19.0,False,미토,0,8.0,NULL,NULL,NULL,NULL,NULL,NULL
129,172,503219,"노트북 각도조절 테이블 접이식테이블 침대위책상 배드테이블, 검정색",34300,4717725821,False,0,2.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
130,173,503219,마켓비 JAWAL 베드 트레이 대나무,25200,1217808173,False,15,4.0,10.0,False,마켓비,0,10.0,NULL,NULL,NULL,NULL,NULL,NULL
131,174,503219,"태블릿 거치 컵홀더 접이식 미니 테이블, 블루",10700,2244078558,True,0,4.0,3.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL
132,175,503219,이케아 KLIPSK 클립스크 침대트레이 화이트 102.890.86,19640,4709010221,False,0,,,False,이케아,0,,NULL,NULL,NULL,NULL,NULL,NULL
