,from selenium import webdriver ,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,스툴,사용인원,설치,인테리어
94,,120.0,184623.0,"에보니아 코코 2인 소파의자 패브리룩 방수레더, 아이보리",198000.0,189723725.0,False,0.0,4.5,212.0,True,에보니아,,138.0,NULL,NULL,NULL,인조/천연가죽,NULL,2인용,NULL,내추럴
95,,121.0,184623.0,"마티노가구 로코코 원목 인조가죽 2인용 소파, 3.뉴로코코 2인_다크그린",163000.0,16273581.0,False,15.0,4.5,63.0,False,마티노가구,착불배송,24.0,NULL,그린,PU,NULL,스툴 없음,2인용,NULL,NULL
96,,122.0,184623.0,"에보니아 리도 컵홀더 3인용 패브릭룩 방수가죽 접이식 쇼파침대, 그레이",151940.0,1171524828.0,False,3.0,4.0,64.0,False,,착불배송,42.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,모던/심플
97,,124.0,184623.0,"[빠른배송+쿠폰혜택] 편안한 착석감 에어 소파 1인용 미니 소파, 소파+발판",39800.0,4717067050.0,False,27.0,4.0,4.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,,126.0,184623.0,"1인용쇼파 리클라이너 쇼파 일인용 소파, 옐로우 [풋 레스트 포함]",89700.0,1599712457.0,False,0.0,3.5,11.0,False,,0,11.0,NULL,NULL,NULL,NULL,NULL,1인용,NULL,모던/심플
99,,127.0,184623.0,"아이와비 애플 패브릭 쇼파베드, 라이트그레이",199000.0,194092694.0,False,50.0,4.5,22.0,False,아이와비,착불배송,21.0,NULL,화이트,패브릭,NULL,NULL,3인용,NULL,로맨틱
100,,128.0,184623.0,10월9일 티보리 투톤 카우치 패브릭 3인소파,269000.0,5167057861.0,False,0.0,5.0,12.0,False,,착불배송,12.0,NULL,라이트그레이 그린 투톤,NULL,NULL,스툴 있음,3인용,NULL,모던/심플
101,,129.0,184623.0,"삼익가구 헬라 패브릭패턴 가죽 3인용 소파 방문설치, 그레이",302860.0,4349354737.0,True,5.0,5.0,6.0,False,삼익가구,0,6.0,NULL,NULL,NULL,NULL,NULL,3인용,방문설치,모던/심플
102,,130.0,184623.0,"버즈가구 루모 스타일클린 워셔블 패브릭 3인용 소파 BS9037 팔걸이 좌형 방문설치, 아이보리(G-3)",538950.0,1910763228.0,True,0.0,4.5,39.0,False,버즈가구,0,39.0,NULL,NULL,NULL,NULL,NULL,3인용,방문설치,모던/심플
103,,131.0,184623.0,"[삼익가구]피거 2인 패브릭패턴 가죽 소파(스툴제외), 오트밀",134900.0,1441018670.0,False,72.0,4.0,9.0,False,삼익가구,착불배송,9.0,NULL,NULL,NULL,NULL,스툴없음,2인용,NULL,로맨틱
104,,132.0,184623.0,"실로디자인 프리미엄클래식 3인인조가죽쇼파 인조가죽소파, 그린",275000.0,12022278.0,False,20.0,4.0,32.0,False,,착불배송,19.0,NULL,NULL,인조가죽,인조/천연가죽,스툴 없음,2~3인,NULL,NULL
105,,133.0,184623.0,"그리프 1인용 소파, 라떼브라운",137500.0,29824332.0,True,0.0,4.0,43.0,False,,0,20.0,73 x 72.5 x 70 cm,브라운,패브릭,NULL,NULL,1인용,NULL,NULL
106,,134.0,184623.0,"[삼익가구]레이크 아쿠아텍스 4인용 헤드틸팅 소파(스툴포함), 라이트그레이",497950.0,1621623562.0,False,58.0,4.5,60.0,False,삼익가구,착불배송,60.0,NULL,NULL,NULL,NULL,스툴있음,NULL,NULL,NULL
107,,137.0,184623.0,"라자가구 위드 지젤 A형 2인용 가죽소파(스툴포함) cu025, 초코브라운",134000.0,201009306.0,False,60.0,4.5,24.0,False,라자가구,착불배송,22.0,W1840xD780xH750mm,브라운,인조가죽,NULL,스툴 있음,NULL,NULL,NULL
108,,138.0,184623.0,"[삼익가구]버니 2인용 대방석세트 좌식쇼파(풀세트), 라이트그레이",109000.0,4589707803.0,False,63.0,5.0,6.0,False,삼익가구,0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,,139.0,184623.0,"에보니아 메이 벤치소파의자 중, 아이보리",71250.0,205946789.0,True,16.0,4.5,138.0,False,에보니아,0,61.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,모던/심플
110,,140.0,184623.0,"SUPERION 스윗퍼니 리클라이너소파 각도조절 360도회전 1인용소파의자 쇼파 안락의자 소파 리클라이너, 블루",65900.0,1443363742.0,False,0.0,4.0,36.0,False,,0,29.0,NULL,NULL,NULL,패브릭,NULL,NULL,NULL,NULL
111,,141.0,184623.0,"[사은품 이벤트] 포더홈 코지 구스다운 천연가죽 3인 4인용 소파 쇼파 가죽소파 가죽쇼파 3인용쇼파 4인용쇼파 이케아st, 베이지, 01.코지 3인용 소파 (스툴제외)",309000.0,4854702992.0,False,70.0,5.0,6.0,False,포더홈,착불배송,6.0,NULL,NULL,천연가죽,인조/천연가죽,스툴 없음,NULL,방문설치,NULL
112,,142.0,184623.0,"1인용 에어쇼파 에어베드 미니침대, 블루",12800.0,1218819450.0,False,35.0,4.5,2.0,False,,"2,500",2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,,143.0,184623.0,"버즈가구 에이미 스타일클린 워셔블 패브릭 3인용 소파 BS3011 방문설치, 연핑크",464000.0,1910763384.0,True,1.0,4.0,21.0,False,버즈가구,0,21.0,NULL,NULL,NULL,패브릭,NULL,3인용,방문설치,로맨틱
114,,144.0,184623.0,"[모아가구] [골프쇼파 2인용쇼파 카페쇼파 사무용쇼파] [소파], 카키",135000.0,1292804434.0,False,0.0,4.5,15.0,False,,0,13.0,NULL,NULL,NULL,NULL,NULL,2인용,NULL,북유럽
115,,145.0,184623.0,"플로바움 바브린노2 3인용 카우치소파, 아이보리(S5317)",334000.0,311592644.0,False,33.0,4.5,40.0,False,플로바움,착불배송,24.0,NULL,베이지,NULL,NULL,스툴 없음,3인용,NULL,NULL
