,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,색상,재질,인테리어
419,602,184670,40X40cm Sneeze Guard 투명 카운터 보호용 Sn 휴대용 카운터 실드 (소매점 용) (두꺼운 6mm),43700,2041027203,False,0,,,False,,"5,000",,NULL,NULL,NULL
420,603,184670,ZAW57BF43 한국 지영스님 친필 명심보감 용 6폭 제사 상 제수용품 병풍 차례 반야심경 추사김정희 가은산수화/묵화,233960,5364786825,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL
421,604,184670,"인테리어 파티션 정원 꾸미기 울타리 칸막이 가벽 파티션 셀프 야외 베란다 화분 공간분리, 가로 160x세로 25x높이 90 화이트 + 크다",141800,5466025368,False,25,,,False,,"5,900",,NULL,NULL,NULL
422,605,184670,비대면 칸막이 아크릴 가림막 식당 칸막이조립형 가림막 ㄷ자형,29800,2372866308,False,0,,,False,,0,,NULL,NULL,NULL
423,606,184670,"아크릴 모음 학교 사무실 가림막 책상가리개 5T, 700X600",36000,5281612331,False,0,,,False,,"4,000",,NULL,NULL,NULL
424,608,184670,"[해외 직송]HY 병풍 칸막이 이동접이식 접이식 접이 거실 심플 모던 오피스 병풍 ST15 A10, 24 200*200cm 4개 1조",119700,1734137041,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL
425,609,184670,"정리함 칸막이 책상 파티션 서랍 수납 주방 정리, 소형",6660,5396775729,False,0,,,False,,0,,NULL,NULL,NULL
426,611,184670,"포플러 북유럽 하우스 3단 파티션 까페 칸막이, 높이1200, 스카이그레이",98000,5027038315,False,28,,,False,,0,,NULL,NULL,NULL
427,612,184670,"[디모토] 빈티지 모던 잎새 3단 파티션 칸막이, 스카이그레이",99000,222176664,False,0,4.0,2.0,False,,"10,000",,NULL,NULL,NULL
428,614,184670,"카미코코 1200 1단 2단 3단 우드파티션 칸막이 가리개, 1200 워시 2단 (420)",39900,1173062278,False,0,3.0,2.0,False,,착불배송,1.0,NULL,NULL,NULL
429,616,184670,"카미코코 1700 1단 2단 3단 우드파티션 칸막이 가리개, 1700 워시 3단 투톤(420)",80900,79814476,False,0,2.0,1.0,False,,착불배송,,NULL,NULL,NULL
430,617,184670,"데코지엔 공간분리 베스트 파티션, 눈꽃4단(내추럴)",95000,1821418565,False,0,4.0,5.0,False,,착불배송,5.0,NULL,NULL,NULL
431,618,184670,"조합형 흡음파티션 80 x 160 PM422, 화이트",113750,1692092933,False,9,5.0,1.0,False,,0,1.0,NULL,NULL,NULL
432,621,184670,"다한수제고가구 8폭화조도(자수)병풍, 1개",670000,1097018369,False,16,5.0,1.0,False,다한수제고가구,0,1.0,NULL,NULL,NULL
433,623,184670,남원공방 죽절 6폭 쟈가드미니병풍140 추사 - 풍속도,153000,220779912,False,0,,,False,,0,,NULL,쟈가드,NULL
434,625,184670,"레트로하우스 틴우드 아쿠아유리 철제파티션 1200 (스탠드), 블랙",124000,1383308951,False,48,4.0,1.0,False,레트로하우스,착불배송,,NULL,NULL,NULL
435,627,184670,"파티션 가벽인테리어 듀크 가벽 파티션 묶음 블랙/화이트 36종 택1, 스트라이프/블랙/400X2400",93930,5221479964,False,7,5.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL
