,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
223,299,184613,"솔로리빙 돌고래 광폭 600 4단 서랍장 안방 드레스룸 옷 속옷 정리 수납장 수납서랍장 서랍정리 옷정리 광폭서랍장 침실서랍 옷수납 옷정리, 오크원",89900,1520088693,False,10,5.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL
224,300,184613,"레더벤치 스툴 사각 화장대 보조 접이식의자 수납의자, 베이지",23630,1335918039,False,4,5.0,3.0,False,,0,,NULL,NULL,NULL,NULL
225,301,184613,"반디 다용도 미니 수납 서랍장 워시3단, 워시 + 핑크 + 그린",35400,4945625537,True,0,4.5,11.0,False,,0,11.0,NULL,NULL,NULL,NULL
226,303,184613,"에스엔가구 미니정리함 2단서랍장, 화이트",18900,1312864544,False,0,4.5,9.0,False,,0,8.0,NULL,NULL,NULL,NULL
227,304,184613,"또또가구 보보-서랍장 서랍장(올오크), 보보-양3단와이드서랍장-올오크",86700,2285632543,False,26,1.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL,북유럽
228,305,184613,"방친구 앨리스 2단 서랍장, 화이트",25000,1369503,False,0,4.0,13.0,False,가구톡톡,착불배송,11.0,NULL,NULL,NULL,NULL
229,306,184613,"데코라인 아델 600 5단서랍장 서랍/수납장>>서랍장, 단품",89000,288495263,False,59,4.0,2.0,False,데코라인,착불배송,2.0,NULL,NULL,NULL,NULL
230,308,184613,이케아 LENNART 서랍유닛 화이트 103.261.78,20900,1372036,False,0,4.0,158.0,False,,착불배송,17.0,30 x 34 x 56cm,화이트,철제,NULL
231,309,184613,"리츠데코 북유럽풍 르망 800 4단 서랍장 수납장 서랍/수납장>>서랍장, 오크",86900,312872483,False,0,4.0,5.0,False,,착불배송,5.0,NULL,NULL,NULL,NULL
232,310,184613,"모던하임 서랍장 2단 800, 월넛(FD)",60000,1411468414,False,0,3.0,9.0,False,상도가구,0,9.0,NULL,NULL,NULL,NULL
